date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:34	10023/10023	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:04%20GMT	https://www.fernandopuente.es/	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/index.html	(from )
10:51:34	1369/1369	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Aug%202020%2016:19:01%20GMT	https://www.fernandopuente.es/robots.txt		(from )
10:51:35	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Feb%202021%2015:51:35%20GMT	http://www.fernandopuente.es/assets/images/rrss.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/rrss.0.delayed	(from https://www.fernandopuente.es/)
10:51:35	3353/3353	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Aug%202020%2016:19:01%20GMT	https://www.fernandopuente.es/apple-touch-icon.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/apple-touch-icon.png	(from https://www.fernandopuente.es/)
10:51:36	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Feb%202021%2015:51:36%20GMT	http://www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-32x32.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-32x32.png	(from https://www.fernandopuente.es/)
10:51:36	186992/186992	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2015:51:36%20GMT	https://www.fernandopuente.es/assets/images/rrss.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/rrss.jpg	(from https://www.fernandopuente.es/)
10:51:37	4135/4135	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Feb%202021%2015:51:37%20GMT	https://www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-32x32.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-32x32.png	(from https://www.fernandopuente.es/)
10:51:38	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Feb%202021%2015:51:38%20GMT	http://www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-192x192.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-192x192.png	(from https://www.fernandopuente.es/)
10:51:38	19362/19362	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Feb%202021%2015:51:39%20GMT	https://www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-192x192.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-192x192.png	(from https://www.fernandopuente.es/)
10:51:39	299/299	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2028%20Feb%202021%2015:51:39%20GMT	http://www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-180x180.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-180x180.png	(from https://www.fernandopuente.es/)
10:51:39	17676/17676	---M--	200	added ('OK')	image/png	date:Sun,%2028%20Feb%202021%2015:51:40%20GMT	https://www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-180x180.png	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/favicons/cropped-isotipo-adalab-512-180x180.png	(from https://www.fernandopuente.es/)
10:51:40	5940/5940	---M-Z	200	added ('OK')	text/css	date:Sun,%2028%20Feb%202021%2015:51:41%20GMT	https://use.typekit.net/rib7ftk.css	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/use.typekit.net/rib7ftk.css	(from https://www.fernandopuente.es/)
10:51:40	10023/10023	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:04%20GMT	https://www.fernandopuente.es/index.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/index-2.html	(from https://www.fernandopuente.es/)
10:51:40	126328/126328	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Feb%202021%2015:51:41%20GMT	https://www.fernandopuente.es/assets/css/main.css	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/css/main.css	(from https://www.fernandopuente.es/)
10:51:40	7469/7469	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:03%20GMT	https://www.fernandopuente.es/about.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/about.html	(from https://www.fernandopuente.es/)
10:51:41	8825/8825	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:30%20GMT	https://www.fernandopuente.es/photography/	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/photography/index.html	(from https://www.fernandopuente.es/)
10:51:41	647037/647037	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2015:51:41%20GMT	https://www.fernandopuente.es/assets/images/yop2.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/yop2.jpg	(from https://www.fernandopuente.es/)
10:51:41	5823/5823	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20May%202020%2023:40:07%20GMT	https://www.fernandopuente.es/assets/images/scroll.svg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/scroll.svg	(from https://www.fernandopuente.es/)
10:51:42	12310/12310	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:03%20GMT	https://www.fernandopuente.es/work/prado.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/work/prado.html	(from https://www.fernandopuente.es/)
10:51:42	68491/68491	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2015:51:43%20GMT	https://www.fernandopuente.es/assets/images/prado_medium1.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/prado_medium1.jpg	(from https://www.fernandopuente.es/)
10:51:42	14874/14874	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:03%20GMT	https://www.fernandopuente.es/work/movistarp.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/work/movistarp.html	(from https://www.fernandopuente.es/)
10:51:42	106880/106880	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2015:51:43%20GMT	https://www.fernandopuente.es/assets/images/movistarp_medium.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/movistarp_medium.jpg	(from https://www.fernandopuente.es/)
10:51:42	12325/12325	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:03%20GMT	https://www.fernandopuente.es/work/mazda.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/work/mazda.html	(from https://www.fernandopuente.es/)
10:51:43	38225/38225	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2015:51:43%20GMT	https://www.fernandopuente.es/assets/images/mazda_medium.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/mazda_medium.jpg	(from https://www.fernandopuente.es/)
10:51:43	13863/13863	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:10%20GMT	https://www.fernandopuente.es/work/cod.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/work/cod.html	(from https://www.fernandopuente.es/)
10:51:43	65228/65228	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Feb%202021%2015:51:44%20GMT	https://www.fernandopuente.es/assets/images/cod_medium.jpg	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/assets/images/cod_medium.jpg	(from https://www.fernandopuente.es/)
10:51:43	16633/16633	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20May%202020%2023:40:03%20GMT	https://www.fernandopuente.es/work/kia.html	C:/Users/Andy/Desktop/mine/https___www.fernandopuente.es_/www.fernandopuente.es/work/kia.html	(from https://www.fernandopuente.es/)
